Sorszam; Termeknev; Cikkszam ;Kep; Ar ;Keszlet
1; Colt M1911 A1 HPA fém szán ;180116;colt-m-1911a1-hpa-metal-slide.jpg;10900;10
2; COLT M1991 - A1 power ;180101;COLT_1991_POWER_MAIN.jpg;8990;21
3; DESERT EAGLE .44 black ;90100;DESERTSPRING_FEKETE_MAIN.jpg;9900;5
4; DL60 Socom (MK23) ;15918;DL60_SOC_MAIN.jpg;10990;10
5; FAMAS BAX ;400700;FAMAS_SPRING_MAIN.jpg;14900;6
6; G17 HW (Glock) ;11110;G17HW_MAIN.jpg;7990;11
7; KA SVD Dragunov ;120705;KA_DRAGUNOV_SPRING_MAIN.jpg;54900;8
8; M14 Socom ;15914;M14_SPRING_MAIN.jpg;16900;9
9; MOSSBERG 500 Pistol Grip ;270711;MOSSBERG_500_MAIN.jpg;9900;1
10; P60 HW (USP) ;11540;P60HW_MAIN.jpg;7990;6
11; Sig Sauer 552 commando ;280700;SIG_552_SPRING_MAIN.jpg;17900;8
12; Sig Sauer P226 Power ;280001;SIGP226_POWER_MAIN.jpg;8990;2
13; Sig Sauer P230 ;280104;SIGP230_MAIN.jpg;7990;10
14; Taurus PT92 HPA fém szán ;210113;TAURUSPT92_HPA_MAIN.jpg;10900;20
15; Taurus PT92 Training series ;210002;TAURUS_PT92_TRAINING_MAIN.jpg;8990;15
